name,appearances,year,media,description
Rishi,Star Wars: The Clone Wars,2008,TV series,Tropical planet used by the Republic to monitor the nearby cloning facility on Kamino.
Rodia,Star Wars Legends: Shadows of the Empire,1996,Book,"Home planet of the Rodians, including Greedo. A remote swampy, jungle planet, it was represented by Onaconda Farr in the Galactic Senate during the Clone Wars."
Rodia,Star Wars: The Clone Wars,2008,TV series,"Home planet of the Rodians, including Greedo. A remote swampy, jungle planet, it was represented by Onaconda Farr in the Galactic Senate during the Clone Wars."
Rugosa,Star Wars: The Clone Wars,2008,TV series,A moon that consists of giant coral reefs. Yoda meets King Katuunko of the Toydarians here.
Ruusan,Star Wars Legends: Star Wars Jedi Knight: Dark Forces II,1997,Video game,Barren planet housing the Valley of the Jedi. Site of a great battle between the Sith and the Jedi.
Ruusan,Star Wars: The Clone Wars,2008,TV series,Barren planet housing the Valley of the Jedi. Site of a great battle between the Sith and the Jedi.
Ryloth,Star Wars Legends: Tales from Jabba's Palace,1995,Book,"Dry, hot home planet of the Twi'leks, including Hera Syndulla and Jedi Master Aayla Secura."
Ryloth,Star Wars: The Clone Wars,2009,TV series,"Dry, hot home planet of the Twi'leks, including Hera Syndulla and Jedi Master Aayla Secura."
Ryloth,Star Wars Rebels,2016,TV series,"Dry, hot home planet of the Twi'leks, including Hera Syndulla and Jedi Master Aayla Secura."
Saleucami,Revenge of the Sith,2005,Film (mentioned),Primary terrain deserts and swamps. Home of the Clone Trooper deserter Cut Lawquane.
Saleucami,Star Wars: The Clone Wars,2010,TV series,Primary terrain deserts and swamps. Home of the Clone Trooper deserter Cut Lawquane.
Savareen,Star Wars Legends:Star Wars Adventure Journal 9,1996,Comics,"Desert and ocean planet. where destitute villages farm wind and refine coaxium. In Solo: A Star Wars Story, the Millennium Falcon arrives there after Han and his crew steal coaxium from Kessel, and Dryden Vos and Tobias Beckett die there."
Savareen,Solo: A Star Wars Story,2018,Film,"Desert and ocean planet. where destitute villages farm wind and refine coaxium. In Solo: A Star Wars Story, the Millennium Falcon arrives there after Han and his crew steal coaxium from Kessel, and Dryden Vos and Tobias Beckett die there."
Scarif,Rogue One,2016,Film,"Oceanic ""paradise world"" used for construction of the Death Star after Geonosis. When Rebel Alliance members raid the Imperial database from the secret base on one of its tropical islands, the secret base is destroyed to impede their escape with the Death Star plans."
Scarif,Star Wars Battlefront,2015,Video game,"Oceanic ""paradise world"" used for construction of the Death Star after Geonosis. When Rebel Alliance members raid the Imperial database from the secret base on one of its tropical islands, the secret base is destroyed to impede their escape with the Death Star plans."
Scarif,Star Wars Battlefront II,2017,Video game,"Oceanic ""paradise world"" used for construction of the Death Star after Geonosis. When Rebel Alliance members raid the Imperial database from the secret base on one of its tropical islands, the secret base is destroyed to impede their escape with the Death Star plans."
Scarif,Solo: A Star Wars Story,2018,Film (mentioned),"Oceanic ""paradise world"" used for construction of the Death Star after Geonosis. When Rebel Alliance members raid the Imperial database from the secret base on one of its tropical islands, the secret base is destroyed to impede their escape with the Death Star plans."
Serenno,Star Wars Legends: Darth Bane: Rule of Two,2007,Comics,A planet in the Outer Rim Territories. Homeworld of Count Dooku.
Serenno,Star Wars: The Clone Wars,2011,TV series,A planet in the Outer Rim Territories. Homeworld of Count Dooku.
Shili,Star Wars: The Clone Wars,2012,TV series,"Home planet of the Togruta, including Jedi Council member Shaak Ti and Ahsoka Tano."
Skako Minor,Star Wars: The Clone Wars,2020,TV series,Home planet of Wat Tambor.
Sorgan,The Mandalorian,2019,TV series,"A forested backwater planet in the Outer Rim mostly populated by human farmers who harvest krill which is used to make spotchka, a popular drink on the planet. Local farmers are constantly attacked by Klatooinians."
Starkiller Base,The Force Awakens,2015,Film,"Snowy planet of forested mountains converted by the First Order into a superweapon. Later destroyed by the Resistance and gave birth to a miniature star, which was named ""Solo"" as an homage to Han Solo, who was killed by his son Kylo Ren on the planet. It is the converted version of Ilum."
Subterrel,Attack of the Clones,2002,Film (mentioned),"Mining planet mentioned by Dexter Jettster who spent time prospecting there. Located near Kamino, beyond the Outer Rim."
Sullust,Return of the Jedi,1983,Film (mentioned),A volcanic planet whose atmosphere was highly toxic forcing the native Sullustans to build technologically advanced subterranean cities. It was the base of Imperial factories and the SoroSuub corporation employed roughly half the population.
Sullust,Star Wars: Battlefront,2015,Video game,A volcanic planet whose atmosphere was highly toxic forcing the native Sullustans to build technologically advanced subterranean cities. It was the base of Imperial factories and the SoroSuub corporation employed roughly half the population.
Sullust,Star Wars Battlefront II,2017,Video game,A volcanic planet whose atmosphere was highly toxic forcing the native Sullustans to build technologically advanced subterranean cities. It was the base of Imperial factories and the SoroSuub corporation employed roughly half the population.
Takodana,The Force Awakens,2015,Film,Forest planet and site of Maz Kanata's castle. Neutral territory between First Order and Resistance.
Takodana,Star Wars Battlefront II,2017,Video game,Forest planet and site of Maz Kanata's castle. Neutral territory between First Order and Resistance.
Tatooine,A New Hope,1977,Film,Desert planet and childhood home of Anakin Skywalker and Luke Skywalker. Location of Jabba the Hutt's palace.
Tatooine,Return of the Jedi,1983,Film,Desert planet and childhood home of Anakin Skywalker and Luke Skywalker. Location of Jabba the Hutt's palace.
Tatooine,The Phantom Menace,1999,Film,Desert planet and childhood home of Anakin Skywalker and Luke Skywalker. Location of Jabba the Hutt's palace.
Tatooine,Attack of the Clones,2002,Film,Desert planet and childhood home of Anakin Skywalker and Luke Skywalker. Location of Jabba the Hutt's palace.
Tatooine,Revenge of the Sith,2005,Film,Desert planet and childhood home of Anakin Skywalker and Luke Skywalker. Location of Jabba the Hutt's palace.
Tatooine,The Clone Wars,2008,Film,Desert planet and childhood home of Anakin Skywalker and Luke Skywalker. Location of Jabba the Hutt's palace.
Tatooine,Star Wars Battlefront,2015,Video game,Desert planet and childhood home of Anakin Skywalker and Luke Skywalker. Location of Jabba the Hutt's palace.
Tatooine,Star Wars Battlefront II,2017,Video game,Desert planet and childhood home of Anakin Skywalker and Luke Skywalker. Location of Jabba the Hutt's palace.
Tatooine,Star Wars: Rebels,2017,TV series,Desert planet and childhood home of Anakin Skywalker and Luke Skywalker. Location of Jabba the Hutt's palace.
Tatooine,Solo: A Star Wars Story,2018,Film (mentioned),Desert planet and childhood home of Anakin Skywalker and Luke Skywalker. Location of Jabba the Hutt's palace.
Tatooine,The Mandalorian,2019,TV series,Desert planet and childhood home of Anakin Skywalker and Luke Skywalker. Location of Jabba the Hutt's palace.
Tatooine,The Rise of Skywalker,2019,Film,Desert planet and childhood home of Anakin Skywalker and Luke Skywalker. Location of Jabba the Hutt's palace.
Teth,The Clone Wars,2008,Film,"During the Clone Wars, Jabba's son Rotta is abducted by the Separatists and brought to this planet. Anakin and Ahsoka Tano travel to Teth and rescue Rotta from Asajj Ventress."
Toydaria,Star Wars: The Clone Wars,2010,TV series,Home planet of Watto and other Toydarians. Close to Nal Hutta.
Trandosha,Star Wars Legends: The Mandalorian Armor,1998,Book (mentioned),Homeworld of the Trandoshan hunters. Close to Kashyyyk.
Trandosha,Star Wars: The Clone Wars,2011,TV series,Homeworld of the Trandoshan hunters. Close to Kashyyyk.
Umbara,Star Wars: The Clone Wars,2011,TV series,"Planet with a thick, foggy atmosphere. Home to the Umbarans."
Utapau,Revenge of the Sith,2005,Film,"Remote planet, covered in deep sinkholes and home to the Utai and Pau'ans. Site of General Grievous' defeat and a separatist base during the last days of the Clone Wars."
Vandor-1,Solo: A Star Wars Story,2018,Film,"Icy, mountainous planet that is the site of a Crimson Dawn train heist led by Tobias Beckett in Solo: A Star Wars Story."
Vardos,Star Wars Battlefront II,2017,Video game,Imperial stronghold and home to Iden and Garrick Versio. One of the first targets of Operation: Cinder.
Wobani,Rogue One,2016,Film,A desolate wasteland and the site of an Imperial penal labor colony.
Wrea,Star Wars: Rebel Rising,2017,Book,A planet near an asteroid filed where Saw Gerrara raises Jyn Erso after her father was taken by the Empire.
Yavin,Star Wars,1977,Film,"Gas planet with several moons, including Yavin 4."
Yavin 4,Star Wars,1977,Film,Forest moon and base for the Rebel Alliance.
Yavin 4,Rogue One,2016,Film,Forest moon and base for the Rebel Alliance.
Zeffo,Star Wars Jedi: Fallen Order,2019,Video game,"A planet with many mountains and stormy weather. Featuring ancient ruins and tombs, imperial excavations, and a crashed Venator near a tomb."
Zygerria,Star Wars: The Clone Wars,2011,TV series,A planet in the Outer Rim Territories home of the Zygerrian species. Zygerria was also known for a slave empire.
